mean_intensity,std_intensity,min_intensity,max_intensity,label
0.51382524,0.22183105,0.047058824,0.9529412,0
0.558713,0.2360513,0.06666667,0.99215686,0
0.53441924,0.21496536,0.047058824,0.9411765,0
0.58322287,0.16323958,0.015686275,0.94509804,0
0.5401109,0.20931166,0.0627451,0.9647059,0
0.5636794,0.18929523,0.09411765,0.9607843,0
0.5201249,0.22862555,0.0,0.9372549,0
0.5376199,0.2056199,0.003921569,0.9254902,0
0.52331,0.2253563,0.011764706,0.9607843,0
0.49503237,0.2047763,0.011764706,0.8784314,0
0.5336177,0.21813704,0.0,0.9411765,0
0.5358761,0.18404259,0.019607844,0.92156863,0
0.52609855,0.24213818,0.015686275,0.9490196,0
0.5463969,0.18680781,0.02745098,0.90588236,0
0.5292955,0.20087938,0.05882353,0.93333334,0
0.5941316,0.17144385,0.0,0.9019608,0
0.33917442,0.12706769,0.0,0.99607843,0
0.5204532,0.21131805,0.0,0.92156863,0
0.5222708,0.2586059,0.0,0.92156863,0
0.56079835,0.20851877,0.0,0.9254902,0
0.5009952,0.22983655,0.03529412,0.9137255,0
0.5869923,0.17718376,0.0,0.9254902,0
0.43005294,0.19829983,0.0,0.9411765,0
0.54346657,0.22630015,0.023529412,0.972549,0
0.5957234,0.25517437,0.0,0.99215686,0
0.5788384,0.21354252,0.003921569,0.9882353,0
0.562634,0.20084147,0.050980393,0.9647059,0
0.5130304,0.22802567,0.0627451,0.9490196,0
0.60451967,0.27268502,0.0,1.0,0
0.55028623,0.19114982,0.015686275,0.9529412,0
0.52636176,0.22316173,0.050980393,0.9529412,0
0.42324,0.20873219,0.0,0.8627451,0
0.56279767,0.1933807,0.019607844,0.92941177,0
0.5688873,0.22715615,0.0,0.9647059,0
0.55906737,0.19305025,0.003921569,0.93333334,0
0.47309282,0.23051725,0.0,0.972549,0
0.5155514,0.21007115,0.0,0.9372549,0
0.5455083,0.2428475,0.0,0.9647059,0
0.54237187,0.28445765,0.0,1.0,0
0.44515535,0.2308155,0.0,0.94509804,0
0.41730794,0.24838755,0.0,0.91764706,0
0.42771968,0.24027202,0.0,0.95686275,0
0.489192,0.25026268,0.0,0.98039216,0
0.41400883,0.25092313,0.0,0.9490196,0
0.5108545,0.23402342,0.0,1.0,0
0.51634765,0.20949197,0.0,0.9882353,0
0.51670796,0.2309013,0.0,0.9607843,0
0.51014024,0.22317062,0.0,0.93333334,0
0.53964674,0.237148,0.0,0.99607843,0
0.48612282,0.22568502,0.0,0.972549,0
0.50196004,0.21664956,0.0,0.98039216,0
0.50897396,0.25115186,0.0,0.972549,0
0.5016196,0.2232456,0.0,0.99607843,0
0.4271618,0.2521346,0.0,0.9764706,0
0.46142486,0.24909483,0.0,0.9372549,0
0.53427345,0.24089055,0.0,0.9647059,0
0.4687229,0.23527688,0.0,0.9607843,0
0.58128244,0.2140902,0.050980393,0.9764706,0
0.46923646,0.2697664,0.0,0.9529412,0
0.47917786,0.26571172,0.0,0.972549,0
0.43029535,0.24968392,0.0,0.90588236,0
0.39596215,0.24150491,0.0,0.972549,0
0.36662963,0.21475992,0.0,0.91764706,0
0.5262779,0.24213725,0.0,0.95686275,0
0.51545787,0.24938883,0.0,0.94509804,0
0.470593,0.256279,0.0,0.9607843,0
0.49794337,0.26376116,0.0,0.9843137,0
0.48227665,0.2503255,0.0,0.95686275,0
0.5011764,0.2224741,0.0,0.9607843,0
0.54524857,0.2508738,0.0,0.91764706,0
0.3973055,0.23943625,0.0,0.85490197,0
0.51874065,0.27767903,0.0,0.93333334,0
0.44425777,0.23212893,0.0,0.8,0
0.4156298,0.24295072,0.0,0.84705883,0
0.42321953,0.24956492,0.0,0.8745098,0
0.5622935,0.27625215,0.0,0.9529412,0
0.41232517,0.24761194,0.0,0.88235295,0
0.4550875,0.1964555,0.0,0.85490197,0
0.43150142,0.22802196,0.0,0.83137256,0
0.4322948,0.26559222,0.0,0.8862745,0
0.45045325,0.28065845,0.0,0.8784314,0
0.41242638,0.26456133,0.0,0.9098039,0
0.39670813,0.26982337,0.0,0.88235295,0
0.40821487,0.18628667,0.0,0.7411765,0
0.4223868,0.24754229,0.0,0.88235295,0
0.45483187,0.25134107,0.0,0.8666667,0
0.41429573,0.24675052,0.0,0.8666667,0
0.42326432,0.2474508,0.0,0.8392157,0
0.5284281,0.2604872,0.0,0.9019608,0
0.40145606,0.17623642,0.0,0.69411767,0
0.41220358,0.22138722,0.0,0.8156863,0
0.51723266,0.25996438,0.0,0.9137255,0
0.5506971,0.30312482,0.0,0.9647059,0
0.50041914,0.26749066,0.0,0.8901961,0
0.51089674,0.2633972,0.0,0.88235295,0
0.51089674,0.2633972,0.0,0.88235295,0
0.3867698,0.27878544,0.0,0.87058824,0
0.41516,0.23790449,0.0,0.84313726,0
0.5611716,0.27376628,0.0,0.9490196,0
0.4501771,0.24002694,0.0,0.8392157,0
0.3940755,0.23432212,0.0,0.81960785,0
0.55021656,0.2492631,0.0,0.9098039,0
0.40641814,0.22396505,0.0,0.7882353,0
0.5080943,0.2685451,0.0,0.9019608,0
0.43792653,0.2418503,0.0,0.85490197,0
0.4806021,0.25890294,0.0,0.8509804,0
0.38644773,0.25212032,0.0,0.8392157,0
0.44409838,0.2312977,0.0,0.8509804,0
0.45972234,0.2488313,0.0,0.8666667,0
0.5819941,0.24566035,0.0,0.88235295,0
0.46269837,0.29467762,0.0,0.8901961,0
0.4954584,0.26494443,0.0,0.88235295,0
0.43628266,0.24625269,0.0,0.8745098,0
0.55586904,0.25504804,0.0,0.9098039,0
0.45148116,0.2698565,0.0,0.8980392,0
0.51718956,0.2763307,0.0,0.9372549,0
0.52199864,0.24414703,0.0,0.81960785,0
0.4415113,0.20897235,0.03137255,0.79607844,0
0.4415113,0.20897235,0.03137255,0.79607844,0
0.55375105,0.23162381,0.0,0.9882353,0
0.612024,0.2543378,0.003921569,0.95686275,0
0.63089657,0.20836864,0.0,0.96862745,0
0.59643304,0.2357724,0.0,0.99607843,0
0.5784662,0.2457095,0.0,0.972549,0
0.45361546,0.26550466,0.0,0.98039216,0
0.5225574,0.18334845,0.0,0.92156863,0
0.5467788,0.27181014,0.0,0.8901961,0
0.62517285,0.22137831,0.0,0.95686275,0
0.53918576,0.2541109,0.0,0.99607843,0
0.5155331,0.2403254,0.0,0.96862745,0
0.4309575,0.25994143,0.0,0.99607843,0
0.5574363,0.25781193,0.0,0.99215686,0
0.5816747,0.22698128,0.0,0.99607843,0
0.5041547,0.27903402,0.0,0.99607843,0
0.4774205,0.24998707,0.0,0.99607843,0
0.6144236,0.19688661,0.0,0.99607843,0
0.56764054,0.26687166,0.0,0.99215686,0
0.57549125,0.22305016,0.0,0.84705883,0
0.44312516,0.20216885,0.0,0.8117647,0
0.44312516,0.20216885,0.0,0.8117647,0
0.54329646,0.21810678,0.0,1.0,0
0.33869126,0.21911186,0.0,0.9529412,0
0.45636174,0.20692708,0.0,0.79607844,0
0.5748945,0.24349472,0.0,1.0,0
0.44651863,0.22702911,0.0,0.9843137,0
0.62652266,0.17608377,0.015686275,0.85490197,0
0.5941436,0.25250098,0.0,0.99215686,0
0.61512613,0.21006371,0.02745098,0.99607843,0
0.4387177,0.18069619,0.0,0.85882354,0
0.41416043,0.21029209,0.0,0.9019608,0
0.44156235,0.25164393,0.0,0.972549,0
0.47173065,0.2367016,0.0,0.96862745,0
0.50537443,0.21509647,0.0,0.9607843,0
0.48104843,0.21585567,0.0,0.98039216,0
0.42477125,0.25098392,0.0,0.9411765,0
0.46599564,0.220281,0.0,0.91764706,0
0.49657953,0.23384182,0.0,0.94509804,0
0.46638048,0.2615045,0.0,0.98039216,0
