mean_intensity,std_intensity,min_intensity,max_intensity,label
0.50550205,0.24289131,0.0,0.972549,0
0.39470938,0.23285493,0.0,0.9764706,0
0.47830552,0.26878348,0.0,0.99215686,0
0.5215048,0.25374603,0.0,1.0,0
0.41656017,0.25341702,0.0,0.972549,0
0.5112927,0.22237979,0.0,0.9490196,0
0.3811556,0.2288696,0.0,0.93333334,0
0.45347345,0.24336867,0.0,0.9882353,0
0.42961597,0.21395636,0.0,0.9019608,0
0.42989206,0.2528034,0.0,0.96862745,0
0.4717322,0.25844014,0.0,0.9843137,0
0.50088906,0.20494206,0.0,0.9882353,0
0.58385336,0.20323248,0.0,0.99607843,0
0.46330842,0.24524501,0.0,0.96862745,0
0.4957435,0.27059454,0.0,0.96862745,0
0.46842334,0.23502696,0.0,0.9843137,0
0.4589057,0.2529621,0.0,0.98039216,0
0.46908695,0.26039684,0.0,1.0,0
0.39924175,0.26130927,0.0,0.95686275,0
0.5059194,0.23138212,0.0,0.9843137,0
0.43160737,0.25583017,0.0,0.9843137,0
0.44063926,0.2028418,0.0,0.9882353,0
0.413986,0.21991833,0.0,0.99607843,0
0.504232,0.21278448,0.0,0.9529412,0
0.4572679,0.2165075,0.0,0.9607843,0
0.519845,0.19905238,0.0,0.9843137,0
0.46459717,0.2584716,0.0,0.9882353,0
0.46759397,0.2657257,0.0,0.9607843,0
0.58418965,0.23344396,0.0,0.9607843,0
0.55313784,0.22351071,0.0,0.99607843,0
0.607398,0.20267858,0.0,0.9529412,0
0.3534386,0.278372,0.0,1.0,0
0.5575223,0.2298512,0.0,0.9647059,0
0.54275656,0.22850621,0.0,0.99607843,0
0.5327815,0.26284805,0.0,1.0,0
0.46785545,0.25977522,0.0,0.98039216,0
0.50841886,0.25554705,0.0,1.0,0
0.49282727,0.23366529,0.0,0.9411765,0
0.48249018,0.23743795,0.0,0.9843137,0
0.532473,0.24512325,0.0,0.96862745,0
0.4391766,0.24003065,0.0,0.8901961,0
0.51659566,0.2367227,0.0,1.0,0
0.47574258,0.2513851,0.0,0.972549,0
0.40357527,0.2421415,0.0,1.0,0
0.47657558,0.23936746,0.0,1.0,0
0.41059768,0.2459752,0.0,0.92941177,0
0.46016833,0.21139908,0.0,0.9882353,0
0.44244736,0.23291726,0.0,1.0,0
0.4953892,0.22585708,0.0,0.98039216,0
0.43447646,0.25950974,0.0,0.9647059,0
0.4792624,0.23066022,0.0,0.95686275,0
0.47224978,0.24618796,0.0,0.96862745,0
0.506731,0.22655755,0.0,0.99215686,0
0.43004015,0.2568376,0.0,1.0,0
0.42437577,0.27032343,0.0,0.9843137,0
0.38642943,0.26032653,0.0,0.9411765,0
0.48983148,0.22522639,0.0,0.99607843,0
0.52800435,0.2166125,0.0,0.95686275,0
0.48181567,0.25839248,0.0,0.9882353,0
0.54093486,0.24696796,0.0,0.9490196,0
0.42915657,0.29414648,0.0,0.99215686,0
0.43539563,0.24658997,0.0,0.99607843,0
0.61759096,0.17049733,0.0,0.972549,0
0.44888368,0.24758738,0.0,0.9764706,0
0.32852167,0.25832802,0.0,0.99607843,0
0.44844502,0.23942365,0.0,0.8862745,0
0.47550902,0.3240194,0.0,1.0,0
0.4535178,0.24828655,0.0,0.92156863,0
0.4884752,0.24526383,0.0,0.99215686,0
0.51934075,0.21106674,0.0,0.9529412,0
0.4082648,0.27298704,0.0,0.99215686,0
0.4524756,0.24951483,0.0,0.972549,0
0.3926017,0.25548157,0.0,0.9882353,0
0.43103623,0.2668246,0.0,0.9843137,0
0.4331181,0.22439362,0.0,1.0,0
0.36428392,0.25232896,0.0,1.0,0
0.4718651,0.24369594,0.0,0.9254902,0
0.46927264,0.24321535,0.0,0.9882353,0
0.5228081,0.21672355,0.0,0.9764706,0
0.4594657,0.2572431,0.0,0.9529412,0
0.4347067,0.24964945,0.0,0.9607843,0
0.4938563,0.2243295,0.0,0.8784314,0
0.34223387,0.23247968,0.0,1.0,0
0.46502614,0.27975336,0.0,0.91764706,0
0.4937605,0.20766996,0.0,0.99607843,0
0.49590644,0.24266037,0.0,0.9882353,0
0.4774169,0.26825008,0.0,0.9882353,0
0.41598943,0.25797927,0.0,0.95686275,0
0.4028001,0.26464194,0.0,0.96862745,0
0.45326695,0.2454004,0.0,0.98039216,0
0.5234855,0.22408408,0.0,0.9529412,0
0.5296617,0.22083801,0.0,0.9764706,0
0.3863448,0.2892212,0.0,1.0,0
0.35413697,0.24999078,0.0,0.99607843,0
0.4464782,0.26518103,0.0,0.9882353,0
0.5597693,0.23381296,0.0,0.9490196,0
0.5789004,0.21919319,0.019607844,0.972549,0
0.4815379,0.21628325,0.0,0.99607843,0
0.5110026,0.21811847,0.0,0.9647059,0
0.44680646,0.22401129,0.0,0.99607843,0
0.5254634,0.21601732,0.0,0.9647059,0
0.41526583,0.25301385,0.0,1.0,0
0.54673487,0.23809093,0.0,0.96862745,0
0.5054828,0.23706947,0.0,0.9764706,0
0.5099189,0.23524979,0.0,0.9882353,0
0.45479247,0.27693725,0.0,0.98039216,0
0.4026277,0.25356042,0.0,0.91764706,0
0.45384827,0.23091026,0.0,0.90588236,0
0.4317796,0.22415027,0.0,0.9607843,0
0.49723598,0.23686022,0.0,0.95686275,0
0.49450248,0.24692416,0.0,0.9607843,0
0.5008349,0.21954481,0.0,0.9882353,0
0.45439854,0.2451831,0.0,0.9647059,0
0.36042684,0.2631064,0.0,1.0,0
0.4188406,0.2696513,0.0,0.9647059,0
0.47320732,0.2404183,0.0,0.9647059,0
0.45088112,0.21647544,0.0,0.972549,0
0.5283423,0.24900956,0.0,0.99215686,0
0.4240881,0.2323121,0.0,0.9764706,0
0.56138456,0.23817389,0.02745098,0.972549,0
0.5431822,0.21870403,0.0,0.9647059,0
0.5195927,0.22546959,0.0,0.96862745,0
0.39528236,0.2704241,0.0,0.9647059,0
0.40192658,0.23717692,0.0,0.96862745,0
0.55828476,0.21751107,0.0,0.99607843,0
0.3890474,0.27761018,0.0,0.9882353,0
0.38976136,0.2399837,0.0,0.9529412,0
0.4738361,0.2242848,0.0,0.99607843,0
0.5070111,0.20330112,0.0,0.9764706,0
0.4964954,0.24209364,0.0,0.9607843,0
0.49679172,0.23776294,0.0,0.9882353,0
0.4697379,0.23537967,0.0,0.9098039,0
0.46453628,0.25306234,0.0,0.9764706,0
0.44234473,0.24481437,0.0,0.98039216,0
0.42386785,0.21517473,0.0,0.9411765,0
0.5163465,0.22674274,0.0,1.0,0
0.54145104,0.19024765,0.0,0.9764706,0
0.4714714,0.20094077,0.0,0.9372549,0
0.4556208,0.26126406,0.0,0.99215686,0
0.5082484,0.2354091,0.0,0.96862745,0
0.48858914,0.19831182,0.0,0.9607843,0
0.44154328,0.24454312,0.0,0.96862745,0
0.5168505,0.21599519,0.0,0.9647059,0
0.4607404,0.22274871,0.0,0.9843137,0
0.4662073,0.2548122,0.0,0.95686275,0
0.4686749,0.20643805,0.0,0.99215686,0
0.49968237,0.21735547,0.0,0.96862745,0
0.4987033,0.18567908,0.0,0.9764706,0
0.5060229,0.23673585,0.0,0.9882353,0
0.5129204,0.28272533,0.0,1.0,0
0.503939,0.21552439,0.0,0.9882353,0
0.45964715,0.20527253,0.003921569,0.98039216,0
0.38930944,0.2904735,0.0,0.96862745,0
0.5017329,0.2350967,0.0,0.95686275,0
0.40168327,0.23974127,0.0,0.972549,0
0.50254023,0.22841223,0.0,0.9411765,0
0.46653074,0.2654529,0.0,0.9843137,0
0.48274162,0.22680008,0.0,0.9607843,0
0.46342447,0.22043991,0.0,0.972549,0
0.52780104,0.20594174,0.0,0.98039216,0
0.4507113,0.24496919,0.0,1.0,0
0.4053195,0.23107828,0.0,0.91764706,0
0.5223938,0.22821039,0.0,1.0,0
0.4906298,0.2602067,0.0,1.0,0
0.470499,0.300308,0.0,1.0,0
0.4760959,0.24138013,0.0,0.9843137,0
0.43639648,0.23730952,0.0,0.9411765,0
0.44293186,0.2841436,0.0,0.9490196,0
0.48188418,0.21174692,0.0,0.95686275,0
0.40718576,0.19866635,0.0,0.9254902,0
0.47819477,0.24179164,0.0,1.0,0
0.4308476,0.2289279,0.0,0.972549,0
0.46332738,0.25087082,0.0,0.94509804,0
0.47588712,0.2563166,0.0,0.99215686,0
0.49198768,0.24075326,0.0,0.9843137,0
0.4248462,0.2555716,0.0,0.96862745,0
0.46453333,0.2529871,0.0,0.94509804,0
0.4561642,0.2309544,0.0,0.9764706,0
0.47517326,0.2650659,0.0,1.0,0
0.4812923,0.22489713,0.0,0.98039216,0
0.5297852,0.22513622,0.0,0.972549,0
0.49010798,0.21441773,0.0,1.0,0
0.5449203,0.23611188,0.0,0.9843137,0
0.50832343,0.22041336,0.0,0.99607843,0
0.6032725,0.25877768,0.0,1.0,0
0.4438596,0.23340909,0.0,0.9764706,0
0.5305254,0.23112191,0.0,0.972549,0
0.45134044,0.23459001,0.0,0.93333334,0
0.46697593,0.23502055,0.0,0.91764706,0
0.4160644,0.2313511,0.0,0.9254902,0
0.504889,0.25214735,0.0,0.99215686,0
0.51525414,0.28566402,0.0,1.0,0
0.47603095,0.24902496,0.0,0.972549,0
0.46263963,0.23801965,0.0,0.98039216,0
0.4712269,0.24517173,0.0,0.972549,0
0.46815065,0.22426456,0.0,0.9411765,0
0.51286954,0.2620259,0.0,0.9607843,0
0.47172987,0.2757349,0.0,0.95686275,0
0.39990926,0.24176459,0.0,0.92941177,0
0.359405,0.28993487,0.0,0.99215686,0
0.44508186,0.23899525,0.0,0.972549,0
0.49186862,0.22322235,0.0,0.98039216,0
0.48773703,0.20401673,0.0,0.99215686,0
0.44928572,0.25049123,0.0,1.0,0
0.5326893,0.22161363,0.0,0.9764706,0
0.53327924,0.23984902,0.007843138,1.0,0
0.47658154,0.20959698,0.0,0.9372549,0
0.4837771,0.25027904,0.0,0.96862745,0
0.5161013,0.22740142,0.0,0.99215686,0
0.5669157,0.1852385,0.0,0.99607843,0
0.4944836,0.23696546,0.0,0.972549,0
0.44339922,0.26099133,0.0,0.9843137,0
0.4514359,0.24202554,0.0,0.98039216,0
0.46541113,0.22677305,0.0,0.98039216,0
0.50329506,0.20113827,0.0,0.9254902,0
0.44726837,0.25544772,0.0,0.96862745,0
0.54045445,0.24167731,0.0,0.99607843,0
0.46777385,0.19174331,0.0,0.9254902,0
0.42029342,0.23038633,0.0,0.9019608,0
0.494622,0.23041251,0.0,0.9764706,0
0.49647376,0.2514199,0.0,0.99607843,0
0.4170308,0.24126971,0.0,0.98039216,0
0.52546215,0.25528756,0.0,0.99607843,0
0.57911605,0.24077937,0.0,0.99215686,0
0.48225942,0.25160578,0.0,0.99215686,0
0.47203842,0.24633293,0.0,0.9843137,0
0.44496673,0.21244128,0.0,0.8784314,0
0.4971055,0.24255036,0.0,1.0,0
0.4935591,0.23816937,0.0,0.99607843,0
0.5332033,0.26435336,0.0,1.0,0
0.42461362,0.27058023,0.0,0.9647059,0
0.5267147,0.22800219,0.0,0.9490196,0
0.35614035,0.22302166,0.0,1.0,0
0.4915064,0.21399407,0.0,0.94509804,0
0.5273502,0.22495753,0.0,0.94509804,0
0.50047433,0.2441057,0.0,1.0,0
0.42020732,0.20798779,0.0,0.85882354,0
0.49607787,0.25290394,0.0,0.9764706,0
0.5055352,0.23950042,0.0,0.9529412,0
0.46161076,0.24236284,0.0,0.9529412,0
0.53468823,0.23793806,0.0,0.9764706,0
0.47209477,0.24630615,0.0,0.9882353,0
0.43294296,0.2476499,0.0,0.9137255,0
0.5323471,0.2368301,0.0,0.9843137,0
0.43425402,0.24369153,0.0,0.9764706,0
0.49351647,0.23853087,0.0,0.9647059,0
0.49443284,0.23914236,0.0,0.972549,0
0.45793962,0.24118327,0.0,1.0,0
0.38635892,0.23405848,0.0,0.9490196,0
0.5063085,0.23697916,0.0,0.99607843,0
0.46348935,0.23326288,0.0,0.89411765,0
0.44469362,0.23686387,0.0,0.92941177,0
0.45149657,0.25695422,0.0,0.9764706,0
0.47829297,0.24968566,0.0,1.0,0
0.3541512,0.26587564,0.0,0.9882353,0
0.52837294,0.22124434,0.0,0.99607843,0
0.44625762,0.20586126,0.0,0.8862745,0
0.4947654,0.25707206,0.0,0.972549,0
0.48455307,0.2326438,0.0,0.95686275,0
0.5338364,0.25061265,0.0,0.9843137,0
0.48529586,0.2293361,0.0,0.9098039,0
0.46486014,0.25468665,0.0,0.96862745,0
0.49671325,0.23054984,0.0,0.96862745,0
0.43646988,0.27638572,0.0,0.9411765,0
0.48950726,0.25238717,0.0,0.96862745,0
0.50396186,0.20360273,0.0,0.96862745,0
0.41242436,0.26981747,0.0,0.98039216,0
0.48923135,0.26602983,0.0,1.0,0
0.419211,0.26635244,0.0,0.99607843,0
0.51068676,0.24267569,0.0,0.92156863,0
0.5463239,0.23170699,0.0,0.95686275,0
0.56885874,0.20002177,0.0,0.9843137,0
0.51782423,0.23932712,0.0,1.0,0
0.521155,0.26159525,0.0,0.9764706,0
0.49418703,0.23996174,0.0,0.9647059,0
0.4942489,0.2550682,0.0,0.9647059,0
0.49338505,0.24539219,0.0,0.9843137,0
0.5038534,0.23180029,0.0,0.9607843,0
0.49710882,0.2715178,0.0,0.94509804,0
0.38866222,0.23587148,0.0,0.9098039,0
0.4358664,0.21225573,0.0,0.9764706,0
0.46229777,0.22034632,0.0,0.98039216,0
0.531534,0.22780496,0.0,0.9647059,0
0.49258694,0.24266967,0.0,0.9882353,0
0.51098806,0.21275868,0.0,1.0,0
0.47455063,0.26078653,0.0,0.9607843,0
0.52983654,0.2668326,0.0,1.0,0
0.4748232,0.23401882,0.0,0.9764706,0
0.5673369,0.2241777,0.0,1.0,0
0.4967697,0.22274686,0.0,0.87058824,0
0.5097369,0.24909006,0.0,0.99215686,0
0.50997907,0.2900888,0.0,0.99607843,0
0.4132108,0.23415473,0.0,1.0,0
0.538785,0.23889895,0.0,0.9647059,0
0.36655077,0.21620092,0.0,0.8352941,0
0.56305563,0.22771807,0.0,0.9647059,0
0.47895667,0.26557732,0.0,0.9647059,0
0.5889761,0.20926224,0.0,0.9529412,0
0.51397526,0.22222793,0.0,0.99607843,0
0.46499446,0.23434888,0.0,0.92941177,0
0.51460683,0.21426687,0.0,0.99607843,0
0.45992523,0.24486588,0.0,0.9372549,0
0.49591744,0.23309547,0.0,0.99607843,0
0.51960695,0.22804907,0.0,0.9647059,0
0.499407,0.27205032,0.0,0.9882353,0
0.4842271,0.2520699,0.0,0.9647059,0
0.39348632,0.18683916,0.0,0.9254902,0
0.4804136,0.22745289,0.0,0.93333334,0
0.62584955,0.25319785,0.0,0.972549,0
0.48169652,0.23583585,0.0,0.99215686,0
0.4352609,0.2659715,0.0,0.99215686,0
0.5190473,0.24255379,0.0,0.99215686,0
0.40779492,0.2023072,0.0,0.972549,0
0.519263,0.23912492,0.0,0.99607843,0
0.4789717,0.23048745,0.0,0.9490196,0
0.4417903,0.24888884,0.0,0.99215686,0
0.4528689,0.26052132,0.0,0.9607843,0
0.5061478,0.2588291,0.0,1.0,0
0.54939693,0.23563002,0.0,1.0,0
0.49472305,0.2706281,0.0,1.0,0
0.47282997,0.27765873,0.0,0.9607843,0
0.47160485,0.20094816,0.0,0.9098039,0
0.44168854,0.23425037,0.0,0.93333334,0
0.47044674,0.26466057,0.0,0.99215686,0
0.51368535,0.266309,0.0,0.99607843,0
0.44083196,0.24235068,0.0,0.93333334,0
0.469761,0.2815251,0.0,0.95686275,0
0.40348807,0.23455825,0.0,0.8509804,0
0.41808763,0.27855745,0.0,0.99215686,0
0.54455286,0.23894902,0.0,0.9882353,0
0.47291872,0.25007343,0.0,0.90588236,0
0.5015374,0.21265423,0.0,0.9647059,0
0.4462925,0.2649665,0.0,0.9764706,0
0.5152291,0.2500446,0.0,0.96862745,0
0.42125696,0.2524998,0.0,0.96862745,0
0.531032,0.22900401,0.0,0.96862745,0
0.4250384,0.27401215,0.0,0.91764706,0
0.49217734,0.2264535,0.0,0.9764706,0
0.47613743,0.23477511,0.0,0.9882353,0
0.5101264,0.23793033,0.0,0.98039216,0
0.55303705,0.24066898,0.0,0.9843137,0
0.5492733,0.23844984,0.0,0.9647059,0
0.5210291,0.19245483,0.0,0.93333334,0
0.4532287,0.2531152,0.0,0.91764706,0
0.45673573,0.18963388,0.0,0.9137255,0
0.4644268,0.2709986,0.0,0.972549,0
0.42486325,0.26413572,0.0,0.98039216,0
0.4491001,0.24084346,0.0,1.0,0
0.47649202,0.22433601,0.0,0.9411765,0
0.5048032,0.22383164,0.0,0.9490196,0
0.45059195,0.26190367,0.0,0.9882353,0
0.511264,0.23233642,0.0,0.98039216,0
0.48063716,0.25384718,0.0,0.99607843,0
0.44260463,0.23497738,0.0,0.8901961,0
0.53232956,0.24399406,0.0,1.0,0
0.5133159,0.2323536,0.0,0.9529412,0
0.4137746,0.23259151,0.0,0.972549,0
0.529593,0.24843231,0.0,1.0,0
0.4650613,0.2851366,0.0,0.98039216,0
0.5270677,0.24405034,0.0,0.972549,0
0.47806618,0.2489572,0.0,0.96862745,0
0.45057616,0.22419952,0.0,0.85882354,0
0.49926043,0.21415742,0.0,0.99607843,0
0.5130949,0.2410606,0.0,0.972549,0
0.49141672,0.2579433,0.0,0.9843137,0
0.42746976,0.28245893,0.0,0.99215686,0
